,Unnamed: 0,sensitivity,specificity,inv_frac,delay_samples,decay_part
1654,1654,1.0,0.0,2.5,150,280
1655,1655,1.0,0.0,3.0,150,280
924,924,1.0,0.0,3.0,250,220
1094,1094,1.0,0.0,3.0,25,200
1093,1093,1.0,0.0,2.5,25,200
1092,1092,1.0,0.0,2.0,25,200
1091,1091,1.0,0.0,1.5,25,200
1090,1090,1.0,0.0,1.0,25,200
1111,1111,1.0,0.0,3.0,50,200
1112,1112,1.0,0.0,3.5,50,200
1651,1651,1.0,0.0,1.0,150,280
1650,1650,1.0,0.0,0.5,150,280
1618,1618,1.0,0.0,1.5,100,280
1619,1619,1.0,0.0,2.0,100,280
1620,1620,1.0,0.0,2.5,100,280
1621,1621,1.0,0.0,3.0,100,280
1128,1128,1.0,0.0,3.0,75,200
1127,1127,1.0,0.0,2.5,75,200
1126,1126,1.0,0.0,2.0,75,200
1773,1773,1.0,0.0,2.5,150,300
1125,1125,1.0,0.0,1.5,75,200
1123,1123,1.0,0.0,0.5,75,200
1633,1633,1.0,0.0,0.5,125,280
1634,1634,1.0,0.0,1.0,125,280
1635,1635,1.0,0.0,1.5,125,280
1636,1636,1.0,0.0,2.0,125,280
1637,1637,1.0,0.0,2.5,125,280
1638,1638,1.0,0.0,3.0,125,280
1124,1124,1.0,0.0,1.0,75,200
312,312,1.0,0.0,3.0,225,80
686,686,1.0,0.0,3.0,125,120
308,308,1.0,0.0,1.0,100,60
1209,1209,1.0,0.0,1.0,175,300
1210,1210,1.0,0.0,1.5,175,300
1211,1211,1.0,0.0,2.0,175,300
1212,1212,1.0,0.0,2.5,175,300
1213,1213,0.9993364299933644,0.0,3.0,175,300
617,617,1.0,0.0,2.5,175,160
1208,1208,1.0,0.0,0.5,175,300
618,618,1.0,0.0,3.0,175,160
620,620,0.9980092899800928,0.0,4.0,175,160
868,868,1.0,0.0,0.5,175,220
630,630,1.0,0.0,0.5,200,160
631,631,1.0,0.0,1.0,200,160
632,632,1.0,0.0,1.5,200,160
1225,1225,1.0,0.0,0.5,200,300
619,619,0.9993364299933644,0.0,3.5,175,160
616,616,1.0,0.0,2.0,175,160
256,256,1.0,0.0,0.5,25,60
257,257,1.0,0.0,1.0,25,60
276,276,1.0,0.0,2.0,50,60
275,275,1.0,0.0,1.5,50,60
274,274,1.0,0.0,1.0,50,60
273,273,1.0,0.0,0.5,50,60
601,601,1.0,0.0,3.0,150,160
602,602,1.0,0.0,3.5,150,160
869,869,1.0,0.0,1.0,175,220
613,613,1.0,0.0,0.5,175,160
614,614,1.0,0.0,1.0,175,160
615,615,1.0,0.0,1.5,175,160
262,262,1.0,0.0,3.5,25,60
261,261,1.0,0.0,3.0,25,60
260,260,1.0,0.0,2.5,25,60
259,259,1.0,0.0,2.0,25,60
258,258,1.0,0.0,1.5,25,60
633,633,1.0,0.0,2.0,200,160
277,277,1.0,0.0,2.5,50,60
634,634,1.0,0.0,2.5,200,160
647,647,1.0,0.0,0.5,225,160
205,205,1.0,0.0,0.5,125,40
1227,1227,1.0,0.0,1.5,200,300
664,664,1.0,0.0,0.5,250,160
665,665,1.0,0.0,1.0,250,160
666,666,1.0,0.0,1.5,250,160
667,667,1.0,0.0,2.0,250,160
