,sensitivity,specificity,inv_frac,delay_samples,window
589,0.028,0.9839679358717435,6.5,25,100
590,0.018,0.9899799599198397,7.0,25,100
591,0.008,0.9979959919839679,7.5,25,100
592,0.0,1.0,0.0,50,100
593,1.0,0.0,0.5,50,100
594,1.0,0.0,1.0,50,100
595,1.0,0.0,1.5,50,100
596,1.0,0.0,2.0,50,100
597,1.0,0.014028056112224449,2.5,50,100
598,0.99,0.17034068136272545,3.0,50,100
599,0.93,0.4789579158316633,3.5,50,100
600,0.762,0.6773547094188377,4.0,50,100
601,0.55,0.8076152304609219,4.5,50,100
602,0.4,0.8837675350701403,5.0,50,100
603,0.31,0.9298597194388778,5.5,50,100
604,0.246,0.9579158316633266,6.0,50,100
605,0.174,0.9739478957915831,6.5,50,100
606,0.112,0.9819639278557114,7.0,50,100
607,0.08,0.9879759519038076,7.5,50,100
608,0.0,1.0,0.0,75,100
609,1.0,0.0,0.5,75,100
610,1.0,0.0,1.0,75,100
611,1.0,0.0,1.5,75,100
612,1.0,0.0,2.0,75,100
613,1.0,0.03006012024048096,2.5,75,100
614,0.996,0.18837675350701402,3.0,75,100
615,0.956,0.45691382765531063,3.5,75,100
616,0.91,0.6813627254509018,4.0,75,100
617,0.856,0.7915831663326653,4.5,75,100
618,0.802,0.8777555110220441,5.0,75,100
619,0.72,0.9258517034068137,5.5,75,100
620,0.624,0.9619238476953907,6.0,75,100
621,0.516,0.9739478957915831,6.5,75,100
622,0.444,0.9799599198396793,7.0,75,100
623,0.372,0.9879759519038076,7.5,75,100
624,0.0,1.0,0.0,100,100
625,1.0,0.0,0.5,100,100
626,1.0,0.0,1.0,100,100
627,1.0,0.0,1.5,100,100
628,1.0,0.0,2.0,100,100
629,1.0,0.03206412825651302,2.5,100,100
630,1.0,0.18036072144288579,3.0,100,100
631,0.998,0.4228456913827655,3.5,100,100
632,0.986,0.625250501002004,4.0,100,100
633,0.966,0.779559118236473,4.5,100,100
634,0.932,0.8476953907815631,5.0,100,100
635,0.884,0.8997995991983968,5.5,100,100
636,0.844,0.9458917835671342,6.0,100,100
637,0.796,0.9679358717434869,6.5,100,100
638,0.74,0.9799599198396793,7.0,100,100
639,0.716,0.9899799599198397,7.5,100,100
640,0.0,1.0,0.0,125,100
641,1.0,0.0,0.5,125,100
642,1.0,0.0,1.0,125,100
643,1.0,0.0,1.5,125,100
644,1.0,0.0,2.0,125,100
645,1.0,0.022044088176352707,2.5,125,100
646,1.0,0.1843687374749499,3.0,125,100
647,1.0,0.45490981963927857,3.5,125,100
648,0.998,0.6412825651302605,4.0,125,100
649,0.992,0.7715430861723447,4.5,125,100
650,0.972,0.8537074148296593,5.0,125,100
651,0.936,0.9018036072144289,5.5,125,100
652,0.908,0.935871743486974,6.0,125,100
653,0.868,0.9619238476953907,6.5,125,100
654,0.816,0.9739478957915831,7.0,125,100
655,0.764,0.9859719438877755,7.5,125,100
656,0.0,1.0,0.0,150,100
657,1.0,0.0,0.5,150,100
658,1.0,0.0,1.0,150,100
659,1.0,0.0,1.5,150,100
660,1.0,0.0,2.0,150,100
661,1.0,0.018036072144288578,2.5,150,100
